Headline,Cleaned_Headline,Sentiment_Score,Sentiment_Label,Word_Count
Ancelotti confident on UEFA probe as Real prepare for Leganes – all to know,ancelotti confident uefa probe real prepare leganes know,0.4939,Positive,8
Brazil fire coach Dorival after Argentina hammering in World Cup qualifier,brazil fire coach dorival argentina hammering world cup qualifier,-0.34,Negative,9
Trump administration seeks Congress approval for USAID reorganisation,trump administration seeks congress approval usaid reorganisation,0.4767,Positive,7
Ukraine’s Zelenskyy cautious on new US minerals deal proposal,ukraine zelenskyy cautious new us minerals deal proposal,-0.1027,Neutral,8
Osasuna file appeal over Barcelona fielding Inigo Martinez in LaLiga match,osasuna file appeal barcelona fielding inigo martinez laliga match,0.0,Neutral,9
Israel launches first air strike on Lebanon’s Beirut since November truce,israel launches first air strike lebanon beirut since november truce,-0.128,Neutral,10
Trump asks US Supreme Court to lift ban on deportations under wartime law,trump asks us supreme court lift ban deportations wartime law,0.0,Neutral,10
Donald Trump speaks with Canada’s Mark Carney amid trade tensions,donald trump speaks canada mark carney amid trade tensions,-0.4019,Negative,9
Bangladesh cricketer Tamim back home after heart attack,bangladesh cricketer tamim back home heart attack,-0.4767,Negative,7
Magnitude 7.7 earthquake in Myanmar; tremors felt in Thailand: All we know,magnitude 7 7 earthquake myanmar tremors felt thailand know,0.0,Neutral,9
Voices from Gaza: Protests demand an end to war and suffering,voices gaza protests demand end war suffering,-0.8555,Negative,7
Real Madrid coach Ancelotti to go on trial for alleged tax fraud,real madrid coach ancelotti go trial alleged tax fraud,-0.5859,Negative,9
Duterte supporters mark ex-Philippine leader’s 80th birthday with rallies,duterte supporters mark ex philippine leader 80th birthday rallies,0.4404,Positive,9
Russia suffers ‘heavy losses’ in east Ukraine amid shaky limited ceasefire,russia suffers heavy losses east ukraine amid shaky limited ceasefire,-0.8225,Negative,10
